Galaxy,Set,Mode,n,ud_isut,ub_isut,zD,zi,V200_dm,c_dm,score_isut,score_dm,k_isut,k_dm,bic_style_isut,bic_style_dm,delta_bic_style,winner,success_isut,success_dm,message_isut,message_dm,nfev_isut,nfev_dm
NGC5033,All65,smart,22,1.041390121759254,0.2776309205741783,-0.8978434669677081,-0.9984852910134719,198.87243545606324,2.954118509170023,140.78878649294685,48.972147050798704,4,4,153.15295630638013,61.33631686423197,-91.81663944214816,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,200,180
NGC5055,All65,smart,28,0.4902672529603897,0.7,-1.8050351802324742,-0.6974346940044565,153.63362589503143,1.08839579184268,94.29706229553355,45.02604321163794,4,4,107.62588033623436,58.35486125233876,-49.2710190838956,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,180,220
NGC5585,All65,smart,24,0.21430939778325475,0.7,0.1128317620262173,1.225207532889249,82.45113670340312,1.0,137.39339452514895,147.74782916193055,4,4,150.10560984654074,160.46004448332235,10.354434636781605,ISUT,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,150,100
NGC5907,All65,smart,19,1.2650531090737704,0.7,-2.106221393289451,-2.8044005805706216,218.76992240583272,3.819964120126978,137.05434201226464,63.533172372281065,4,4,148.8320979289304,75.31092828894683,-73.52116963998358,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,170,140
NGC5985,All65,smart,33,1.128532926356544,4.9483142109983556,-0.8975520587827478,-0.9979618499222948,284.7580337483691,3.602479813601469,185.1181637461715,47.67327057249103,4,4,199.1041939920374,61.65930081835695,-137.44489317368047,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,220,115
NGC6015,All65,smart,44,1.0572967796931763,0.7,-1.3694245015618494,-1.6163756772320745,133.18422756449726,1.76206513627697,449.89355601267687,347.6933407420077,4,4,465.0303145483499,362.83009927768074,-102.20021527066916,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,175,150
NGC6195,All65,smart,23,0.14693001537310948,0.6257341584842314,0.24733260204325727,0.2430287187511491,208.69728401117433,1.0,37.695199673420454,39.62334148956482,4,4,50.23717653713705,52.16531835328142,1.9281418161443682,ISUT,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,155,240
NGC6503,All65,smart,31,0.4288109354310585,0.7,0.05895180251687531,0.5284835322118064,104.00001950458368,1.364741629544143,85.79160002664746,40.25863617363464,4,4,99.52754884458804,53.99458499157522,-45.53296385301282,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,135,220
NGC6674,All65,smart,15,0.581401677064455,5.0,-0.9889616539834908,-1.1121304079899992,200.7829439990339,1.0,81.79541942359825,122.94749665508282,4,4,92.62762022800709,133.77969745949164,41.152077231484554,ISUT,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,215,225
NGC6946,All65,smart,58,0.5488978521819392,0.638944970342234,-0.9389608448836962,-1.0493064786071629,130.14203891099922,1.0,83.82896376733052,86.85812279769671,4,4,100.0707358095162,103.09989483988238,3.0291590303661877,ISUT,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,165,255
NGC7331,All65,smart,36,0.3165837521301636,0.25275612202880726,0.4921712745339457,0.471977298579772,190.85033171118354,1.0,42.732978984745365,44.94203127548482,4,4,57.06705473856981,59.27610702930926,2.20905229073945,ISUT,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,170,220
NGC7793,All65,smart,46,0.5135589500010287,0.7,-0.3743860173031512,-0.3924450323740614,82.53365585094699,1.0,36.060796540204876,38.96795614899646,4,4,51.37536212616126,54.28252173495284,2.9071596087915808,ISUT,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,70,210
UGC02885,All65,smart,19,0.44802671136351224,0.964829350372319,0.16300703709625392,0.1615594618883359,260.3768249265964,1.0,13.60366539629635,13.635190346132202,4,4,25.38142131296211,25.412946262797963,0.031524949835851857,ISUT,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,115,150
UGC06399,All65,smart,9,0.615684242159996,0.7,0.0004039251680074061,0.000377161852508874,83.96185555058433,1.0,2.623070848082317,9.603330121663191,4,4,11.411969157427196,18.39222843100807,6.9802592735808755,ISUT,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,75,95
UGC06446,All65,smart,17,1.5976539815835398,0.7,-0.7712606329440657,-0.8450595141332435,71.44521513512254,1.0,8.041023175679506,3.022977966107936,4,4,19.37387655190437,14.3558313423328,-5.01804520957157,DM,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,105,80
UGC06614,All65,smart,13,0.39867819017733414,0.325729139617615,0.18703368474331172,0.18490321710287339,174.91828607160002,1.0,7.583579319660508,10.477045964649697,4,4,17.843376749506653,20.736843394495843,2.8934666449891893,ISUT,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,125,105
UGC06667,All65,smart,9,3.1823109339771296,0.7,-0.395048716801391,-0.41503179543682556,61.24298666328147,1.0,21.140018716230404,13.933661418784427,4,4,29.92891702557528,22.722559728129305,-7.206357297445976,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,90,40
UGC06786,All65,smart,45,0.47532910916739496,0.3641787548407125,3.0,3.0,215.82729690039832,2.634555535308789,198.73670845254927,24.520698106425556,4,4,213.96335841163054,39.747348065506834,-174.2160103461237,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,150,195
UGC06818,All65,smart,8,0.09556580311047348,0.7,0.8085855963692945,0.7519058665563606,57.47651242891588,1.0,15.57781209023062,33.800922038130324,4,4,23.89557825694996,42.11868820484967,18.223109947899708,ISUT,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,105,60
UGC06917,All65,smart,11,0.5780348206587768,0.7,-0.0591372102357241,-0.05972767708723377,106.45897084399306,1.0268766630547894,10.272814359546201,5.344594596024263,4,4,19.864395450739686,14.936175687217744,-4.928219763521941,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,75,105
UGC06923,All65,smart,6,0.30310961054006763,0.7,0.1089610273283228,0.10820992397498937,85.8569472908007,1.0,3.7934009626356087,2.5342757633783703,4,4,10.960438839547828,9.70131364029059,-1.2591251992572392,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,55,230
UGC06930,All65,smart,10,0.5986212927449239,0.7,-0.8194007346211654,-0.9028398334893589,97.12458889389038,1.2205682566666605,12.954956054189891,2.061612215990175,4,4,22.165296426166073,11.271952587966359,-10.893343838199714,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,85,105
UGC06983,All65,smart,17,0.9727940295583282,0.7,-0.5949472587323812,-0.6389418885762574,102.0863180203294,1.5732543475777725,15.668034139517635,8.64880284628075,4,4,27.000887515742498,19.981656222505613,-7.019231293236885,DM,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,100,120
UGC07089,All65,smart,12,0.1362449406091334,0.7,-0.03061130620075773,-0.0309434638617547,61.064057584869126,1.0,1.6033560472636044,26.25782457958757,4,4,11.542982646415606,36.19745117873957,24.654468532323964,ISUT,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,80,105
