r,gN,a0,y_gN_over_a0,nu_simple,alpha_sqrt_nu,gA_gN_times_nu,gB_gN_times_alpha2,abs_err,rel_err
26.660080040020013,1.4069449407425192,0.5,2.8138898814850384,1.278061651715426,1.1305138883337196,1.7981623748380462,1.798162374838046,2.220446049250313e-16,1.2348417919990682e-16
26.68504252126063,1.40431392302568,0.5,2.80862784605136,1.2784894008146441,1.1307030559853652,1.795400466004764,1.7954004660047636,4.440892098500626e-16,2.473482759187856e-16
26.71000500250125,1.4016902785050325,0.5,2.803380557010065,1.2789173150064266,1.1308922649865576,1.7926459674562665,1.792645967456266,4.440892098500626e-16,2.477283400694101e-16
26.734967483741872,1.399073979655977,0.5,2.798147959311954,1.2793453940188315,1.1310815151963325,1.7898988517644705,1.7898988517644703,2.220446049250313e-16,1.2405427530507727e-16
26.759929964982494,1.3964649990822335,0.5,2.792929998164467,1.2797736375804096,1.1312708064740333,1.7871590916291935,1.7871590916291937,2.220446049250313e-16,1.2424445364996187e-16
26.784892446223115,1.3938633095151232,0.5,2.7877266190302463,1.280202045420204,1.1314601386793104,1.7844266598774357,1.784426659877436,4.440892098500626e-16,2.4886940989805945e-16
26.809854927463732,1.391268883812856,0.5,2.782537767625712,1.2806306172677484,1.1316495116721204,1.781701529462669,1.781701529462669,0.0,0.0
26.834817408704353,1.3886816949598242,0.5,2.7773633899196484,1.2810593528530667,1.1318389253127261,1.7789836734641322,1.7789836734641322,0.0,0.0
26.859779889944974,1.386101716065898,0.5,2.772203432131796,1.2814882519066721,1.1320283794616954,1.776273065086126,1.7762730650861263,2.220446049250313e-16,1.250058953713094e-16
26.884742371185595,1.3835289203657266,0.5,2.7670578407314532,1.281917314159567,1.132217873979901,1.7735696776573178,1.7735696776573173,4.440892098500626e-16,2.5039287457634796e-16
26.909704852426213,1.380963281218045,0.5,2.76192656243609,1.2823465393432412,1.1324074087285199,1.7708734846300471,1.770873484630047,2.220446049250313e-16,1.2538705156083954e-16
26.934667333666834,1.3784047721049835,0.5,2.756809544209967,1.2827759271896713,1.1325969835690326,1.7681844595796377,1.7681844595796379,2.220446049250313e-16,1.2557773807028e-16
26.959629814907455,1.3758533666313828,0.5,2.7517067332627656,1.283205477431321,1.1327865983632226,1.765502576203714,1.765502576203714,0.0,0.0
26.984592296148076,1.3733090385241131,0.5,2.7466180770482262,1.283635189801139,1.1329762529731764,1.7628278083215199,1.7628278083215194,4.440892098500626e-16,2.519186546489206e-16
27.009554777388697,1.3707717616313984,0.5,2.7415435232627967,1.2840650640325586,1.133165947261282,1.7601601298732448,1.7601601298732448,0.0,0.0
27.034517258629315,1.3682415099221432,0.5,2.7364830198442864,1.2844950998594977,1.1333556810902294,1.7574995149193533,1.7574995149193535,2.220446049250313e-16,1.2634120410281896e-16
27.059479739869936,1.3657182574852655,0.5,2.731436514970531,1.2849252970163567,1.133545454323009,1.754845937639916,1.7548459376399164,4.440892098500626e-16,2.530645000365765e-16
27.084442221110557,1.3632019785290344,0.5,2.7264039570580687,1.285355655238019,1.1337352668229117,1.7521993723339508,1.7521993723339506,2.220446049250313e-16,1.267233674608987e-16
27.109404702351178,1.3606926473804086,0.5,2.7213852947608173,1.285786174259849,1.1339251184535286,1.7495597934187614,1.7495597934187612,2.220446049250313e-16,1.2691455631312876e-16
27.1343671835918,1.3581902384843851,0.5,2.7163804769687703,1.286216853817693,1.13411500907875,1.746927175429288,1.746927175429288,0.0,0.0
27.159329664832416,1.355694726403345,0.5,2.71138945280669,1.2866476936478763,1.1343049385627642,1.7443014930174525,1.7443014930174523,2.220446049250313e-16,1.272971477774282e-16
27.184292146073037,1.3532060858164088,0.5,2.7064121716328176,1.287078693487204,1.1344949067700587,1.7416827209515167,1.741682720951517,4.440892098500626e-16,2.5497710031104153e-16
27.20925462731366,1.3507242915187938,0.5,2.7014485830375876,1.2875098530729598,1.1346849135654178,1.73907083411544,1.7390708341154397,2.220446049250313e-16,1.2768002347527836e-16
27.23421710855428,1.348249318421177,0.5,2.696498636842354,1.2879411721429053,1.1348749588139238,1.7364658075082438,1.7364658075082435,2.220446049250313e-16,1.278715676202436e-16
27.259179589794897,1.345781141549059,0.5,2.691562283098118,1.2883726504352782,1.1350650423809545,1.7338676162433755,1.7338676162433755,0.0,0.0
